//Version: PianoRoll_v170101
0	0.5075	0.54375	C2	65	69	0
1	0.675	0.729375	C2	50	63	0
2	0.686562	0.733437	C3	64	67	0
3	0.686562	0.742812	E3	67	67	0
4	0.691875	0.729375	G2	57	67	0
5	0.8375	0.883437	G2	55	66	0
6	0.845	0.892813	C2	59	66	0
7	0.849062	0.9	C3	54	65	0
8	0.849062	0.911562	E3	64	66	0
9	1.00625	1.05219	C2	56	66	0
10	1.01156	1.05531	G2	51	65	0
11	1.01156	1.07094	E3	62	66	0
12	1.01875	1.06156	C3	56	66	0
13	1.17813	1.22406	G2	58	66	0
14	1.1875	1.22812	C2	51	65	0
15	1.1875	1.24063	C3	52	64	0
16	1.1875	1.245	E3	64	66	0
17	1.37094	1.41687	C2	50	64	0
18	1.37094	1.4075	G2	49	65	0
19	1.37094	1.43125	E3	63	66	0
20	1.375	1.42187	C3	55	65	0
21	1.55531	1.60219	C3	49	64	0
22	1.55531	1.61469	E3	64	66	0
23	1.56062	1.60625	C2	53	65	0
24	1.56062	1.60625	G2	45	63	0
25	1.72187	1.77406	C3	56	65	0
26	1.72406	1.78656	E3	63	65	0
27	1.72937	1.77406	G2	55	66	0
28	1.73562	1.77719	C2	53	66	0
29	1.90437	1.94813	C3	56	66	0
30	1.90437	1.96562	E3	70	67	0
31	1.90844	1.95219	C2	57	66	0
32	1.90844	1.94813	G2	57	67	0
33	2.08125	2.12094	G2	54	66	0
34	2.08562	2.12094	C2	56	67	0
35	2.08562	2.12812	C3	55	66	0
36	2.08562	2.1375	E3	70	68	0
37	2.24906	2.29188	C2	56	66	0
38	2.24906	2.2875	G2	55	67	0
39	2.25844	2.29906	C3	59	67	0
40	2.2625	2.30938	E3	70	68	0
41	2.42	2.46781	C3	63	67	0
42	2.42	2.48125	E3	70	67	0
43	2.425	2.46781	G2	55	66	0
44	2.42937	2.47188	C2	54	66	0
45	2.59062	2.63344	C3	62	67	0
46	2.59594	2.63875	G2	59	67	0
47	2.59594	2.645	E3	77	69	0
48	2.6	2.64281	C2	60	67	0
49	2.76062	2.79906	C3	54	66	0
50	2.76062	2.80844	E3	77	69	0
51	2.76562	2.80844	C2	62	67	0
52	2.76562	2.80313	G2	60	68	0
53	2.93031	2.98125	C2	62	66	0
54	2.93562	2.97625	A2	65	68	0
55	2.93969	3.00125	F#3	79	68	0
56	2.945	2.98562	D3	74	70	0
57	3.095	3.13656	A2	54	66	0
58	3.10219	3.15125	C2	57	66	0
59	3.11156	3.15125	D3	62	68	0
60	3.11156	3.17312	F#3	79	68	0
61	3.27625	3.82094	G3	81	57	0
62	3.28031	3.78125	D3	60	53	0
63	3.3	3.33438	B1	55	67	0
64	3.3	3.33438	G2	57	68	0
65	3.45125	3.49687	G2	60	67	0
66	3.45312	3.50625	B1	57	65	0
67	3.64812	3.69281	B1	54	65	0
68	3.64812	3.69281	G2	60	67	0
69	3.85437	3.89906	B1	46	63	0
70	3.85437	3.89062	G2	46	65	0
71	3.85437	3.95437	B3	65	63	0
72	3.93875	4.07625	A3	68	62	0
73	4.02937	4.08031	B1	55	65	0
74	4.0325	4.07625	G2	52	65	0
75	4.04188	4.225	G3	67	60	0
76	4.20531	4.24375	G2	58	67	0
77	4.20937	4.25531	B1	54	65	0
78	4.36688	4.41469	G2	61	67	0
79	4.37094	4.42	B1	58	66	0
80	4.53437	4.58031	G2	58	66	0
81	4.53656	4.58437	B1	54	65	0
82	4.65531	4.745	C#6	74	65	0
83	4.70531	4.74906	G2	56	66	0
84	4.71156	4.75531	B1	53	65	0
85	4.71156	5.18969	D6	87	58	0
86	4.86781	4.91375	G2	67	68	0
87	4.875	4.92094	B1	58	66	0
88	5.0375	5.08344	G2	61	67	0
89	5.04688	5.09063	B1	57	66	0
90	5.13875	5.28875	C6	76	63	0
91	5.21781	5.36375	B5	80	64	0
92	5.22312	5.27094	B1	52	65	0
93	5.22312	5.26375	G2	54	66	0
94	5.30844	5.4375	A5	76	64	0
95	5.40437	5.44687	G2	58	67	0
96	5.40844	5.45219	B1	58	66	0
97	5.4125	5.61875	G5	84	62	0
98	5.59281	5.64062	B1	55	65	0
99	5.59281	5.63125	G2	61	68	0
100	5.76781	5.81062	G2	57	66	0
101	5.77094	5.82	B1	54	65	0
102	5.9325	5.97625	G2	60	67	0
103	5.93656	5.9825	B1	56	66	0
104	6.1075	6.17312	D3	64	65	0
105	6.1125	6.16562	Bb2	61	66	0
106	6.13125	6.17312	Bb1	54	66	0
107	6.13563	6.17719	F2	51	65	0
108	6.29594	6.35625	D3	58	65	0
109	6.29812	6.34063	Bb1	53	65	0
110	6.29812	6.33875	F2	54	66	0
111	6.29812	6.34687	Bb2	51	64	0
112	6.46469	6.50938	F2	51	65	0
113	6.47094	6.53031	D3	53	64	0
114	6.47313	6.51875	Bb1	45	63	0
115	6.47313	6.52406	Bb2	50	64	0
116	6.64687	6.7	Bb1	50	64	0
117	6.64687	6.69062	F2	53	65	0
118	6.65125	6.7	Bb2	47	63	0
119	6.65625	6.70312	D3	58	66	0
120	6.81687	6.87	Bb2	56	65	0
121	6.81687	6.87937	D3	61	65	0
122	6.83437	6.87406	F2	46	64	0
123	6.83969	6.8825	Bb1	48	64	0
124	6.99375	7.05	Bb2	53	64	0
125	6.99594	7.05844	D3	56	64	0
126	7.00312	7.04375	F2	52	66	0
127	7.01062	7.05844	Bb1	50	64	0
128	7.17188	7.23437	D3	53	63	0
129	7.17625	7.23031	Bb2	48	63	0
130	7.18125	7.22625	F2	43	63	0
131	7.18562	7.23437	Bb1	46	63	0
132	7.34687	7.39594	Bb2	55	65	0
133	7.35	7.39375	F2	47	64	0
134	7.3575	7.4125	Bb1	49	63	0
135	7.3575	7.4125	D3	60	66	0
136	7.51562	7.58437	D3	63	65	0
137	7.52313	7.575	Bb2	52	64	0
138	7.53562	7.58031	F2	50	65	0
139	7.54063	7.58969	Bb1	51	64	0
140	7.7075	7.76156	Bb2	51	64	0
141	7.7075	7.77312	D3	61	65	0
142	7.72	7.77312	Bb1	49	63	0
143	7.72	7.76375	F2	49	64	0
