// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	2.00721	Eb4	63	85	1	0	Eb4	63	96	
1	2.00855	Eb3	51	89	0	0	Eb3	51	96	
2	2.15678	F#3	54	97	3	0.208333	F#3	54	96	
3	2.15945	F#2	42	93	2	0.208333	F#2	42	96	
4	3.54834	Eb4	63	87	4	1.66667	Eb4	63	96	
5	3.54834	Eb5	75	88	7	1.66667	Eb5	75	96	
6	3.55368	F#2	42	95	9	1.66667	F#2	42	96	
7	3.55502	F#1	30	95	8	1.66667	F#1	30	96	
8	3.55769	C5	72	75	6	1.66667	C5	72	96	
9	3.56437	A4	69	73	5	1.66667	A4	69	96	
10	3.70192	Eb4	63	94	10	1.875	Eb4	63	105	
11	3.70325	Eb5	75	95	13	1.875	Eb5	75	105	
12	3.7086	A4	69	74	11	1.875	A4	69	105	
13	3.70993	C5	72	77	12	1.875	C5	72	105	
14	3.72062	F#3	54	96	15	1.875	F#3	54	96	
15	3.72195	F#2	42	87	14	1.875	F#2	42	96	
16	7.14876	C5	72	84	17	5	C5	72	96	
17	7.15945	F#3	54	60	18	5	F#3	54	96	
18	7.17013	Eb4	63	52	19	5	Eb4	63	96	
19	7.18082	A4	69	55	16	5	A4	69	96	
20	7.29834	C5	72	82	20	5.20833	C5	72	105	
21	7.30635	Eb4	63	63	23	5.20833	Eb4	63	96	
22	7.31303	A4	69	63	21	5.20833	A4	69	105	
23	7.31303	F#3	54	51	22	5.20833	F#3	54	96	
24	7.54139	D5	74	66	24	5.30208	D5	74	96	
25	7.67093	C5	72	52	26	5.39583	C5	72	96	
26	7.73771	D5	74	62	28	5.49306	D5	74	96	
27	7.82451	C5	72	58	30	5.59028	C5	72	85	
28	7.89396	D5	74	57	32	5.68403	D5	74	85	
29	7.97141	C5	72	62	33	5.7257	D5	74	105	
30	8.07024	D5	74	56	34	5.78125	C5	72	85	
31	8.12766	C5	72	55	35	5.83333	C5	72	105	
32	8.22515	D5	74	52	36	5.87847	D5	74	85	
33	8.28391	C5	72	44	*	-1	*	-1	-1	
34	8.37205	D5	74	52	37	5.93403	D5	74	105	
35	8.44684	C5	72	47	38	5.9757	C5	72	85	
36	8.5283	D5	74	54	40	6.06945	D5	74	85	
37	8.6071	C5	72	44	42	6.16667	C5	72	80	
38	8.65384	D5	74	67	44	6.26389	D5	74	80	
39	8.74598	C5	72	26	46	6.35764	C5	72	80	
40	8.87285	B4	71	45	47	6.45833	B4	71	77	
41	9.03044	C5	72	63	48	6.66667	C5	72	63	
42	9.32291	B4	71	54	50	6.875	B4	71	49	
43	9.35095	G3	55	23	51	6.875	G3	55	49	
44	9.36164	D4	62	20	52	6.875	D4	62	49	
45	9.37499	G4	67	12	49	6.875	G4	67	49	
46	10.9428	C5	72	51	55	8.54167	C5	72	49	
47	10.9549	C3	48	37	56	8.54167	C3	48	49	
48	10.9629	G3	55	31	57	8.54167	G3	55	49	
49	10.9749	Eb4	63	19	53	8.54167	Eb4	63	49	
50	10.9749	C4	60	27	58	8.54167	C4	60	49	
51	11.0043	G4	67	8	54	8.54167	G4	67	49	
52	12.0165	B1	35	70	59	10.2083	B1	35	49	
53	12.1461	D2	38	75	60	10.2917	D2	38	58	
54	12.2556	G2	43	81	61	10.375	G2	43	62	
55	12.3544	B2	47	64	62	10.4583	B2	47	66	
56	12.4319	D3	50	79	63	10.5417	D3	50	70	
57	12.488	G3	55	72	64	10.625	G3	55	75	
58	12.5815	B3	59	73	65	10.7083	B3	59	79	
59	12.6402	D4	62	71	66	10.7917	D4	62	83	
60	12.6883	G4	67	73	67	10.875	G4	67	87	
61	12.7484	B4	71	82	68	10.9583	B4	71	92	
62	12.8245	G4	67	82	70	11.0417	G4	67	96	
63	12.8298	D4	62	96	69	11.0417	D4	62	96	
64	12.8298	D5	74	95	71	11.0417	D5	74	96	
65	12.8432	B2	47	91	74	11.0417	B2	47	96	
66	12.8499	B1	35	84	72	11.0417	B1	35	96	
67	16.1017	G#3	56	93	75	14.1667	G#3	56	96	
68	16.1031	G#4	68	87	76	14.1667	G#4	68	96	
69	16.242	B3	59	95	78	14.375	B3	59	105	
70	16.2527	B2	47	87	77	14.375	B2	47	105	
71	17.512	B2	47	84	84	15.8333	B2	47	96	
72	17.516	B1	35	76	83	15.8333	B1	35	96	
73	17.5173	G#5	80	89	82	15.8333	G#5	80	96	
74	17.5227	G#4	68	90	79	15.8333	G#4	68	96	
75	17.528	F5	77	77	81	15.8333	F5	77	96	
76	17.5294	D5	74	83	80	15.8333	D5	74	96	
77	17.6509	G#4	68	97	85	16.0417	G#4	68	105	
78	17.6549	G#5	80	96	88	16.0417	G#5	80	105	
79	17.6656	F5	77	79	87	16.0417	F5	77	105	
80	17.6696	D5	74	75	86	16.0417	D5	74	105	
81	17.6696	F#5	78	44	*	-1	*	-1	-1	
82	17.6789	B3	59	88	90	16.0417	B3	59	96	
83	17.6816	B2	47	79	89	16.0417	B2	47	96	
84	20.5328	F5	77	90	92	19.1667	F5	77	96	
85	20.5435	G#4	68	59	94	19.1667	G#4	68	96	
86	20.5555	B3	59	50	93	19.1667	B3	59	96	
87	20.5649	D5	74	59	91	19.1667	D5	74	96	
88	20.6824	F5	77	92	95	19.375	F5	77	105	
89	20.7078	D5	74	60	96	19.375	D5	74	105	
90	20.7131	G#4	68	50	98	19.375	G#4	68	96	
91	20.7211	B3	59	55	97	19.375	B3	59	96	
92	20.9482	G5	79	65	99	19.4688	G5	79	96	
93	21.0804	F5	77	59	101	19.5625	F5	77	96	
94	21.1538	G5	79	53	103	19.6597	G5	79	96	
95	21.2193	F5	77	57	105	19.7569	F5	77	96	
96	21.2981	G5	79	58	107	19.8507	G5	79	86	
97	21.3582	F5	77	62	108	19.8924	G5	79	105	
98	21.4436	G5	79	55	109	19.9479	F5	77	86	
99	21.5117	F5	77	59	110	20	F5	77	105	
100	21.5892	G5	79	52	111	20.0451	G5	79	86	
101	21.6439	F5	77	61	*	-1	*	-1	-1	
102	21.7361	G5	79	52	112	20.1007	G5	79	105	
103	21.7762	F5	77	65	113	20.1424	F5	77	86	
104	21.8095	D5	74	9	*	-1	*	-1	-1	
105	21.8776	G5	79	49	115	20.2361	G5	79	86	
106	21.9377	F5	77	50	117	20.3333	F5	77	81	
107	21.9898	G5	79	71	119	20.4306	G5	79	81	
108	22.0499	F5	77	71	121	20.5243	F5	77	81	
109	22.2102	E5	76	66	122	20.625	E5	76	77	
110	22.3491	F5	77	69	123	20.8333	F5	77	63	
111	22.6202	E5	76	55	125	21.0417	E5	76	49	
112	22.6482	G4	67	31	124	21.0417	G4	67	49	
113	22.6629	C#4	61	22	127	21.0417	C#4	61	49	
114	22.6709	Bb3	58	33	126	21.0417	Bb3	58	49	
115	24.1479	F5	77	62	130	22.7083	F5	77	49	
116	24.168	G#3	56	30	131	22.7083	G#3	56	49	
117	24.176	C4	60	35	132	22.7083	C4	60	49	
118	24.1947	F4	65	18	128	22.7083	F4	65	49	
119	24.1974	C5	72	25	129	22.7083	C5	72	49	
120	25.1362	E2	40	69	133	24.375	E2	40	49	
121	25.235	G2	43	72	134	24.4583	G2	43	58	
122	25.3138	C3	48	79	135	24.5417	C3	48	62	
123	25.4033	E3	52	80	136	24.625	E3	52	66	
124	25.5075	G3	55	78	137	24.7083	G3	55	70	
125	25.5729	C4	60	50	138	24.7917	C4	60	75	
126	25.637	E4	64	69	139	24.875	E4	64	79	
127	25.7265	G4	67	72	140	24.9583	G4	67	83	
128	25.7599	C5	72	75	141	25.0417	C5	72	87	
