// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	0.5203	G#3	56	41	2	0	G#3	56	80	
1	0.529915	F4	65	43	0	0	F4	65	80	
2	0.551283	F3	53	33	3	0	F3	53	80	
3	1.16239	G#4	68	46	4	0.125	G#4	68	80	
4	1.53205	C5	72	55	5	0.25	C5	72	80	
5	1.85363	F5	77	63	6	0.375	F5	77	80	
6	2.19979	G4	67	55	7	0.5	G4	67	80	
7	2.22436	Bb3	58	42	9	0.5	Bb3	58	80	
8	2.53633	F5	77	65	10	0.625	F5	77	80	
9	2.84188	E5	76	70	11	0.75	E5	76	80	
10	3.16881	G5	79	76	12	0.875	G5	79	80	
11	3.50962	C4	60	45	15	1	C4	60	80	
12	3.51282	G#4	68	69	13	1	G#4	68	80	
13	3.84509	C5	72	71	16	1.125	C5	72	80	
14	4.16881	F5	77	74	17	1.25	F5	77	80	
15	4.48932	E5	76	71	18	1.375	E5	76	80	
16	4.87287	F5	77	68	19	1.5	F5	77	80	
17	4.88141	G#3	56	45	21	1.5	G#3	56	80	
18	5.28526	C5	72	60	22	1.625	C5	72	80	
19	5.60898	Bb4	70	63	23	1.75	Bb4	70	80	
20	5.92308	G#4	68	60	24	1.875	G#4	68	80	
21	6.28099	C#5	73	63	25	2	C#5	73	80	
22	6.30236	Bb3	58	43	27	2	Bb3	58	80	
23	6.63142	G#4	68	55	28	2.125	G#4	68	80	
24	6.98291	G4	67	48	29	2.25	G4	67	80	
25	7.2874	Bb4	70	58	30	2.375	Bb4	70	80	
26	7.65172	E4	64	52	31	2.5	E4	64	80	
27	7.66026	G3	55	35	32	2.5	G3	55	80	
28	7.9968	C#5	73	54	33	2.625	C#5	73	80	
29	8.33441	C5	72	60	34	2.75	C5	72	80	
30	8.66561	Bb4	70	59	35	2.875	Bb4	70	80	
31	9.06838	F3	53	43	38	3	F3	53	80	
32	9.09082	G#4	68	53	36	3	G#4	68	80	
33	9.11219	F4	65	38	37	3	F4	65	80	
34	9.55343	G#3	56	44	40	3.125	G#3	56	80	
35	9.87501	C4	60	45	41	3.25	C4	60	80	
36	10.1474	Bb4	70	61	42	3.375	Bb4	70	80	
37	10.1667	F4	65	35	43	3.375	F4	65	80	
38	10.4562	G3	55	45	46	3.5	G3	55	80	
39	10.5641	C5	72	62	*	-1	*	-1	-1	
40	10.6742	Bb4	70	63	*	-1	*	-1	-1	
41	10.7521	C5	72	58	*	-1	*	-1	-1	
42	10.812	F4	65	43	54	3.625	F4	65	80	
43	10.8526	Bb4	70	65	44	3.5	Bb4	70	80	
44	10.9177	C5	72	57	45	3.5	C5	72	80	
45	10.968	Bb4	70	73	*	-1	*	-1	-1	
46	11.0502	C5	72	73	*	-1	*	-1	-1	
47	11.1336	Bb4	70	76	*	-1	*	-1	-1	
48	11.1357	E4	64	46	59	3.75	E4	64	80	
49	11.4231	G#4	68	68	63	3.875	G#4	68	80	
50	11.4658	G4	67	46	64	3.875	G4	67	80	
51	11.5919	Bb4	70	72	65	3.9375	Bb4	70	80	
52	11.8814	C5	72	68	66	4	C5	72	80	
53	11.9573	G#3	56	38	68	4	G#3	56	80	
54	12.2831	G#4	68	62	70	4.125	G#4	68	80	
55	12.5972	E4	64	54	71	4.25	E4	64	80	
56	12.9242	F4	65	53	72	4.375	F4	65	80	
57	13.2863	Bb3	58	39	74	4.5	Bb3	58	80	
58	13.2885	C#4	61	57	73	4.5	C#4	61	80	
59	13.6549	C#5	73	58	75	4.625	C#5	73	80	
60	13.9701	G4	67	54	76	4.75	G4	67	80	
61	14.3088	Bb4	70	63	77	4.875	Bb4	70	80	
62	14.6955	C3	48	45	80	5	C3	48	80	
63	14.7799	E4	64	60	78	5	E4	64	80	
64	14.8152	C4	60	35	79	5	C4	60	80	
65	15.1848	E3	52	46	82	5.125	E3	52	80	
66	15.4925	G3	55	50	83	5.25	G3	55	80	
67	15.7618	C4	60	45	85	5.375	C4	60	80	
68	15.766	F4	65	55	84	5.375	F4	65	80	
69	16.0214	C#3	49	55	88	5.5	C#3	49	80	
70	16.1165	G4	67	58	*	-1	*	-1	-1	
71	16.2457	F4	65	60	*	-1	*	-1	-1	
72	16.313	G4	67	54	*	-1	*	-1	-1	
73	16.3419	C4	60	47	96	5.625	C4	60	80	
74	16.3985	F4	65	67	86	5.5	F4	65	80	
75	16.4658	G4	67	56	87	5.5	G4	67	80	
76	16.5449	F4	65	62	*	-1	*	-1	-1	
77	16.6015	G4	67	52	*	-1	*	-1	-1	
78	16.6304	Bb3	58	50	101	5.75	Bb3	58	80	
79	16.6827	F4	65	59	*	-1	*	-1	-1	
80	16.9744	C#4	61	46	106	5.875	C#4	61	80	
81	16.984	E4	64	58	105	5.875	E4	64	80	
82	17.1507	F4	65	60	107	5.9375	F4	65	80	
83	17.4284	E3	52	48	110	6	E3	52	80	
84	17.4477	G4	67	57	108	6	G4	67	80	
85	17.844	C5	72	60	112	6.125	C5	72	80	
86	18.1581	G3	55	49	114	6.25	G3	55	80	
87	18.1624	Bb4	70	65	113	6.25	Bb4	70	80	
88	18.4925	C#5	73	69	115	6.375	C#5	73	80	
89	18.8291	E4	64	66	116	6.5	E4	64	80	
90	18.8334	C4	60	48	117	6.5	C4	60	80	
91	19.1432	C#5	73	70	118	6.625	C#5	73	80	
92	19.4722	C3	48	52	120	6.75	C3	48	80	
93	19.484	C5	72	72	119	6.75	C5	72	80	
94	19.8131	Bb4	70	72	121	6.875	Bb4	70	80	
95	20.2725	F2	41	58	124	7	F2	41	80	
96	20.3376	A4	69	64	122	7	A4	69	80	
97	20.3526	Eb4	63	44	123	7	Eb4	63	80	
98	20.7148	A2	45	52	126	7.125	A2	45	80	
99	21.0225	C3	48	60	127	7.25	C3	48	80	
100	21.3088	F3	53	49	129	7.375	F3	53	80	
101	21.3152	Bb4	70	74	128	7.375	Bb4	70	80	
102	21.5705	F#2	42	57	133	7.5	F#2	42	80	
103	21.6891	C5	72	67	*	-1	*	-1	-1	
104	21.703	C#4	61	56	131	7.5	C#4	61	80	
105	21.828	Bb4	70	67	*	-1	*	-1	-1	
